Data_center,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,power_usage_2023_kwh,power_usage_per_hour_2023_kwh
Southern Telecom Birmingham,600 18th St N,-86.8128941,33.5180081,ROOFTOP,99280,11.3333333
Fresh Technology,2200 Riverchase Center,-86.7833209,33.3636724,ROOFTOP,99280,11.3333333
Meta Montgomery Data Center,36105,-86.2767995,32.2334312,APPROXIMATE,99280,11.3333333
"Sparrow Technology Solutions, LLC.",3015 McGehee Rd.,-86.2585119,32.3381089,ROOFTOP,99280,11.3333333
Uniti Fiber Alabama Data Center,650 Clinic Dr,-88.17972999,30.70204859,GoogleMap,99280,11.3333333
"Assurance Technology, LLp",316 Bel Air Blvd,-88.1183369,30.6747632,ROOFTOP,99280,11.3333333
AUBix Data Center,1571 W Samford Ave,-85.513409,32.601021,ROOFTOP,99280,11.3333333
Day Star Data Center,712 N. Cumberland St,-90.2277218,29.9852551,ROOFTOP,28850.86957,3.293478261
US Secure Hosting Center,24253 US Highway 151,-91.0921286,42.2840757,ROOFTOP,206444,23.5666667
ITS Data Center,22068 Business Hwy 151,-91.16097433,42.25302412,GoogleMap,206444,23.5666667
Ark Data Centers Marion,5055 Rec Dr,-91.5542847,42.0528933,ROOFTOP,206444,23.5666667
"Windstream Louisville, KY",929 Mason Avenue,-90.0460313,29.8917372,GEOMETRIC_CENTER,81030,9.25
EdgeConneX Slidell - EDCSLI01,2070 Gause Blvd E,-89.7374027,30.2870983,ROOFTOP,6570,0.75
Cogent Data Center - New Orleans,650 Poydras St.,-90.0701146,29.9488746,ROOFTOP,6570,0.75
Lumen New Orleans 2,1250 Poydras St,-90.0767572,29.9507683,ROOFTOP,6570,0.75
FOGO Solutions - New Orleans,935 Gravier St,-90.0733933,29.9529136,ROOFTOP,6570,0.75
Lumen Metairie,3220 Lausat Street,-90.1578447,29.9722954,ROOFTOP,6570,0.75
Lumen New Orleans 1,639 Loyola,-90.07830112,29.95136295,GoogleMap,6570,0.75
Lockstep Technology Group Data Center,6867 Bluebonnet Blvd.,-91.092567,30.387558,ROOFTOP,6570,0.75
DartPoints Baton Rouge 2,7139 Florida Blvd,-91.1155706,30.4522872,ROOFTOP,6570,0.75
DartPoints Baton Rouge 1,7127 Florida Blvd,-91.1159194,30.4537793,ROOFTOP,6570,0.75
Lumen Baton Rouge 2,9826 Burbank Drive,-91.1187267,30.357106,ROOFTOP,6570,0.75
DartPoints Shreveport,601 Milam St,-95.3642685,29.7604778,ROOFTOP,6570,0.75
USNX Data Center,6360 I-55 North,-90.1431885,32.3981802,ROOFTOP,98622.55,11.25828196
C Spire Ridgeland,1018 Highland Colony Pkwy,-90.1472147,32.4373271,ROOFTOP,98622.55,11.25828196
NETDOOR JXN,812 N State St,-90.17824173,32.30903547,GoogleMap,98622.55,11.25828196
C Spire Hattiesburg,6184 US Hwy 98,-89.3891801,31.3195577,ROOFTOP,98622.55,11.25828196
C Spire Starkville,401 Research Blvd,-97.712445,30.3469906,RANGE_INTERPOLATED,98622.55,11.25828196
Consolidated Fargo,3312 42nd Street South,-89.773124,44.37355,RANGE_INTERPOLATED,559388.5714,63.85714286
Core Scientific Grand Forks,5601 11th Ave S,-86.7457853,33.5267414,ROOFTOP,559388.5714,63.85714286
Windstream Brookfield,13935 Bishops Drive,-1.4378833,52.9443907,GEOMETRIC_CENTER,3918.947368,0.447368421
Windstream Farmington Hills,23629 Industrial Park Dr,10.6635399,53.9881843,APPROXIMATE,10305.88235,1.176470588
Everstream Grand Rapids Data Center,3950 Sparks Ave SE,145.0246167,-37.7659167,GEOMETRIC_CENTER,10305.88235,1.176470588
Everstream East Lansing Data Center,1515 Turf Lane,-2.1115359,53.561772,GEOMETRIC_CENTER,10305.88235,1.176470588
MEC Data Center,60590 Decatur Road,1.8385103,49.3304289,APPROXIMATE,10305.88235,1.176470588
DataBank IND2 - Downtown Indianapolis,650 W. Henry Street,-8.6317237,52.6609511,GEOMETRIC_CENTER,5071.578947,0.578947368
Windstream Indianapolis,701 W Henry Street,-8.6317237,52.6609511,GEOMETRIC_CENTER,5071.578947,0.578947368
GAP Indy Data Center,800 Henry Street,-8.6318649,52.6608523,RANGE_INTERPOLATED,5071.578947,0.578947368
Lumen SouthBend 1,1140 Franklin Street,144.9599812,-37.8082179,GEOMETRIC_CENTER,5071.578947,0.578947368
Lumen Santa Teresa 1,175 Harrier Drive,153.4332479,-28.0910207,RANGE_INTERPOLATED,44773.33333,5.111111111
Ark Data Centers Duluth 2,421 N. 6th Ave. East,-105.7375087,53.1893067,GEOMETRIC_CENTER,18318.13333,2.09111111
NWI Networks, 135 Day Street,151.2032436,-33.8742929,RANGE_INTERPOLATED,4380,0.5
