Data_center,power_usage_2023_kwh,power_usage_per_hour_2023_kwh,Data_center_address,Longitude_of_data_center,Latitude_of_data_center,Is_it_accurate,market,Number_of_Market_Data_Centers,states,Number_of_States_Data_Centers
2403 Walsh St (SJC19),33566.97482,3.831846441,2403 Walsh Street,-121.9699056,37.37037856,GoogleMap,Santa Clara,64,California,271
2401 Walsh St (SJC18),33566.97482,3.831846441,2401 Walsh Street,-90.2688592,38.5799859,GEOMETRIC_CENTER,Santa Clara,64,California,271
NTT Silicon Valley SV1,33566.97482,3.831846441,1160 Walsh Avenue,-79.5345974,43.7161444,GEOMETRIC_CENTER,Santa Clara,64,California,271
EdgeConneX Santa Clara-EDCSVC02,33566.97482,3.831846441,1700 Richard Avenue,-64.4799384,45.0865033,RANGE_INTERPOLATED,Santa Clara,64,California,271
Evocative SJC11,33566.97482,3.831846441,2151 Mission College Blvd,-121.9622415,37.3894282,ROOFTOP,Santa Clara,64,California,271
CyrusOne SCV1 - Santa Clara,33566.97482,3.831846441,2600 De La Cruz Blvd.,-121.9434537,37.3685806,ROOFTOP,Santa Clara,64,California,271
Equinix SV2,33566.97482,3.831846441,1350 Duane Ave,-121.9549689,37.3781646,ROOFTOP,Santa Clara,64,California,271
Equinix SV4,33566.97482,3.831846441,255 Caspian Drive,-123.485071,48.4136131,ROOFTOP,Santa Clara,64,California,271
Cologix SV1,33566.97482,3.831846441,2050 Martin Ave.,-121.9617379,37.3653921,GoogleMap,Santa Clara,64,California,271
Deft Silicon Valley,33566.97482,3.831846441,2820 Northwestern Pkwy,-121.9736174,37.3724282,ROOFTOP,Santa Clara,64,California,271
STACK Infrastructure SVY02A,33566.97482,3.831846441,1200 Memorex Dr,-121.9530432,37.3614358,ROOFTOP,Santa Clara,64,California,271
DataBank SFO1 - Silicon Valley,33566.97482,3.831846441,5101 Lafayette Street,-73.9970957,40.7222954,GEOMETRIC_CENTER,Santa Clara,64,California,271
OpenColo - SC1,33566.97482,3.831846441,3223 Kenneth Street,28.1196054,-25.7059342,RANGE_INTERPOLATED,Santa Clara,64,California,271
Datacate Santa Clara,33566.97482,3.831846441,2151 Mission College Blvd,-121.9622415,37.3894282,ROOFTOP,Santa Clara,64,California,271
Prime Santa Clara 1（无）,33566.97482,3.831846441,,,,,Santa Clara,64,California,271
Colovore SJC01,33566.97482,3.831846441,1101 Space Park Dr,-95.1031221,29.5467121,RANGE_INTERPOLATED,Santa Clara,64,California,271
EdgeCore Silicon Valley Campus,33566.97482,3.831846441,2201 Laurelwood Rd,-121.9649217,37.3847138,ROOFTOP,Santa Clara,64,California,271
CoreSite Silicon Valley (SV9),33566.97482,3.831846441,2905 Stender Way,-121.9696175,37.375177,ROOFTOP,Santa Clara,64,California,271
CoreSite Santa Clara (SV3),33566.97482,3.831846441,2901 Coronado Drive,-96.9848213,32.899055,RANGE_INTERPOLATED,Santa Clara,64,California,271
Evocative SJC3,33566.97482,3.831846441,3080 Raymond Street,-6.2767915,53.3333493,GEOMETRIC_CENTER,Santa Clara,64,California,271
Prime Santa Clara 3（无）,33566.97482,3.831846441,,,,,Santa Clara,64,California,271
Prime Santa Clara 2（无）,33566.97482,3.831846441,,,,,Santa Clara,64,California,271
Centersquare - Silicon Valley SFO1-A,33566.97482,3.831846441,2401 Walsh Ave,-121.9694581,37.3718854,ROOFTOP,Santa Clara,64,California,271
Centersquare - Silicon Valley SFO2-A,33566.97482,3.831846441,4700 Old Ironsides Dr,-121.9809711,37.3986458,ROOFTOP,Santa Clara,64,California,271
Evocative SJC14,33566.97482,3.831846441,1525 Comstock Street,-116.0090471,36.199322,RANGE_INTERPOLATED,Santa Clara,64,California,271
Colovore SJC02,33566.97482,3.831846441,3060 Raymond St,-121.9530364,37.37733265,GoogleMap,Santa Clara,64,California,271
CoreSite Santa Clara (SV8),33566.97482,3.831846441,3035 Stender Way,-121.9717215,37.3771996,ROOFTOP,Santa Clara,64,California,271
Vantage CA3 - Santa Clara III,33566.97482,3.831846441,2590 Walsh Ave,-121.9745047,37.3707768,ROOFTOP,Santa Clara,64,California,271
Equinix SV17 (NAP West),33566.97482,3.831846441,3030 Corvin Drive,-121.9886321,37.3765079,ROOFTOP,Santa Clara,64,California,271
CloudHQ SJC1,33566.97482,3.831846441,552 Reed St,-121.9425961,37.35992133,GoogleMap,Santa Clara,64,California,271
Amazon AWS SFO - Mission College Campus,33566.97482,3.831846441,2305 Mission College Blvd,-121.9671293,37.3900212,ROOFTOP,Santa Clara,64,California,271
CoreSite Santa Clara (SV4),33566.97482,3.831846441,2972 Stender Way,-121.9706838,37.3762075,ROOFTOP,Santa Clara,64,California,271
Centersquare - Silicon Valley SFO1-B,33566.97482,3.831846441,2403 Walsh Ave.,-121.9698841,37.3703658,ROOFTOP,Santa Clara,64,California,271
Centersquare - Silicon Valley SFO2-B,33566.97482,3.831846441,4650 Old Ironsides Dr,-121.9808325,37.3975802,ROOFTOP,Santa Clara,64,California,271
